description,count_06-23,count_10-22,pct-change
ring alarm security kit — ring alarm smoke and co listener,3.0,16.0,-81.25
3 ring contact sensor,19.0,0.0,inf
ring alarm security kit — ring alarm base station,3.0,16.0,-81.25
ring alarm security kit — ring alarm window and door contact sensor,3.0,16.0,-81.25
ring alarm security kit — ring alarm keypad,3.0,16.0,-81.25
ring alarm security kit – base station keypad motion detector smoke and co listener window and door contact sensor,0.0,19.0,-100.0
ring alarm security kit — ring alarm motion detector,3.0,16.0,-81.25
integrated solar energy system with real-time monitoringprovided through participation in the buyer-friendly new home solar plan by sunnova³,0.0,19.0,-100.0
1-2-10 year homeowners warranty featuring 1 year overall limited coverage 2 year systemsbr protection and a 10 year limited structural warranty,0.0,18.0,-100.0
this home includes the ring video doorbell pro,4.0,14.0,-71.43
ring video doorbell,17.0,0.0,inf
ring alarm security kit ndash ring door contact sensorsup1,11.0,6.0,83.33
ring alarm security kit – base station keypad motion detector smoke and co listener and window and door contact sensor,1.0,15.0,-93.33
-  ring alarm door contact sensors,0.0,15.0,-100.0
gereg freestanding stainless steel gas range featuring 5 burners with griddle,14.0,0.0,inf
this multifunctional kitchen features granite or quartz countertops and a generous walk-in pantry offering ample storage space,8.0,6.0,33.33
ring alarm and video doorbell,13.0,0.0,inf
uhoo indoor air quality monitoring,0.0,13.0,-100.0
ring alarm security kit - ring motion detector,5.0,7.0,-28.57
this home is fully equipped with a ring alarm security kit,0.0,12.0,-100.0
the owner’s suite bathroom is both comfortable and luxurious featuring shaker-style cabinetry and dual sinks with moen chrome faucets,0.0,12.0,-100.0
pring alarm security kit- ring alarm smoke and co listenerp,11.0,0.0,inf
pring alarm security kit- ring alarm window and door contact sensorp,11.0,0.0,inf
pring alarm security kit- base stationp,11.0,0.0,inf
pring alarm security kit- ring alarm keypadp,11.0,0.0,inf
pring alarm security kit- ring alarm motion detectorp,11.0,0.0,inf
pring video doorbell prospan stylewhite-spacepre		spanp,11.0,0.0,inf
fully equipped with a ring video doorbell pro,5.0,4.0,25.0
r30 insulation in ceilings to keep air-conditioned spaces consistently comfortable while lowering energy costs,0.0,9.0,-100.0
ring alarm security kit - ring alarm door contact sensor,4.0,5.0,-20.0
ring alarm and doorbell kit,8.0,0.0,inf
wi-fi- heat mapping engineering,0.0,8.0,-100.0
this home is equipped with the ring video doorbell pro,0.0,7.0,-100.0
this home features a ring alarm security kit,0.0,7.0,-100.0
ring alarm security kit ndash base station keypad motion detector smoke and co listener window and door contact sensor,0.0,7.0,-100.0
this multifunctional kitchen features granite or quartz countertops brand-new stainless steel appliances and a generous pantry offering ample storage space,3.0,4.0,-25.0
ring doorbell video pro,4.0,3.0,33.33
30 freestanding self-clean gas convection range featuring 5 burners with griddle,0.0,6.0,-100.0
ring alarm security kit and base station keypad motion detector smoke and co listener and window and door contact sensor,0.0,6.0,-100.0
ring alarm security kit with base station keypad motion detector smoke and co listener and window and door contact sensor,0.0,6.0,-100.0
integrated solar energy system with real-time monitoring provided through participation in sunnova’s buyer-friendly leaseplus new home solar plan3,6.0,0.0,inf
ring alarm security kit2 - ring alarm smoke and co listener,6.0,0.0,inf
ring alarm security kit2 - ring alarm motion detector,6.0,0.0,inf
ring alarm security kit2 - ring alarm keypad,6.0,0.0,inf
ring alarm security kit2 - ring alarm window and door contact sensor,6.0,0.0,inf
ring alarm security kit2 - base station,6.0,0.0,inf
integrated solar energy system with real-time monitoring provided through participation in sunnova’s buyer-friendly leaseplus new home solar plan³,3.0,3.0,0.0
window coverings at select locations per plan,3.0,3.0,0.0
spanthis home is fully equipped with a ring video doorbell prospan,0.0,5.0,-100.0
ring video doorbell pro helps keep the home connected and secure,5.0,0.0,inf
